Group,Marker Icon,Marker Color,Icon Color,Custom Size,Project,Developer,Hotline,Image,Logo,Website,Brochure,Head Offices,Area,BUA,Consulting,Facebook,Instagram,Launched,Delivery,Finishing,St.Apt.A,End.Apt.A,St.Apt.P,End.Apt.P,Apartment,D.P,Inst.,Del.P,Payment Plan,Cash Dis.,Long Install.,Garage,Club,Maintenance,Latitude,Longitude
Residential,home,LightGreen,black,,Village Gardens Katameya,Palm Hills,19743,https://api.palmhillsdevelopments.com/uploads/Projects/1555196317-Village-Garden.jpg,https://palmhillsdevelopments.com/img/logoWhite.png,<a href='https://palmhillsdevelopments.com/OurDevelopmentsDetails/26/village-gardens-katameya' target='_blank'>Website</a>,<a href='https://issuu.com/constructionglobal/docs/palmhills-brochure-march2016' target='_blank'>Brochure</a>,"Smart Village, A4 - B83 KM28, Cairo - Alexandria Desert Road Abou Rawash",285k.square.m,,,,,,,,,,,,,,,,,,,,,,30.0381671,31.5465777
Residential,home,LightGreen,black,,Katameya Extension,Palm Hills,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0442039,31.5443287
Residential,home,LightGreen,black,,Katameya Palm Hills,Palm Hills,,https://doc-10-7s-mymaps.googleusercontent.com/untrusted/hostedimage/kuqpiikv4hk0mddf0kpggr69gk/0dtj446e9ouf2vi5o5cflrr2d0/1642935931000/HWNn31-iN7DNv4XVcWqYaunlIDfHXsQo/04921836320569710604/5AIsG_vazYkzpBgg6UF2Wc8IvxYDiW7pkvRnghHfkEzqdrqEJlb3p093NgtbQcXFQ0ejzl9iVycPodcu21wvq72B6JZnYkukbIuMw94yefu8c0avLLg2AaX6-DYwYqCHdH2ilFifYq1GNBjwsTElg2OyHTDW-8-UOgSVKPp1iWdyOsRo67yS8UUEelVwFFzYzixVaY6s?session=0&fife,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0319668,31.537963
Residential,home,LightGreen,black,,Palm Hills New Cairo,Palm Hills,19743,https://api.palmhillsdevelopments.com/uploads/Projects/1554662893-masterplan.jpg,https://api.palmhillsdevelopments.com/uploads/Projects/1554662893-upload-logo.jpg,<a href='https://palmhillsdevelopments.com/OurDevelopmentsDetails/7/palm-hills-new-cairo' target='_blank'>Website</a>,<a href='https://drive.google.com/file/d/1z4G2JDMNtItTnClxOugdyeCjQdR-WlI7/view?usp=sharing' target='_blank'>Brochure</a>,"Smart Village, A4 - B83 KM28",500 Acre,,,,,,,,,,,,,,,,,,,,,,30.0604756,31.5976104
Residential,home,LightGreen,black,,City Gate,Qatari Diar,26142000,https://www.qataridiar.com/english/ourprojects/projects%20images/city%20gate/gallery/city%20gate%202.jpg,https://www.qataridiar.com/PublishingImages/logo.gif,<a href='https://www.qataridiar.com/English/OurProjects/Pages/City-Gate.aspx' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,"Building no. 65, 90th South Street
5th Settlement","8,500,000 m2",,,,,,,,,,,,,,,,,,,,,,30.0129163,31.567096
Residential,home,LightGreen,black,,AZZAR,Reedy,16050,"https://static.wixstatic.com/media/e32222_974ead7cde6c4de3b0791e59d03170b2~mv2.jpg/v1/crop/x_92,y_0,w_1516,h_850/fill/w_981,h_549,al_c,q_85,usm_0.66_1.00_0.01/e32222_974ead7cde6c4de3b0791e59d03170b2~mv2.webp",https://azzarreedy.com/img/assets/sectionIntro/Reedy-Red1.png,<a href='https://azzarreedy.com/' target='_blank'>Website</a>,<a href='https://azzarreedy.com/img/assets/brochure/AzzarBrochure.pdf' target='_blank'>Brochure</a>,"AZZAR New Cairo, Golden Square",,,,,,,,,,,,,,,,,,,,,,,30.0301047,31.5309717
Residential,home,LightGreen,black,,Layan Residence,Sappour,16767 - 16033,http://photos.wikimapia.org/p/00/05/05/69/35_big.jpg,https://www.alahly.com/website/assets/images/logo-black.png,<a href='https://lmd.com.eg/property-item/layan/' target='_blank'>Website</a>,<a href='https://sxj.jlw.mybluehost.me/wp-content/uploads/2021/05/Lyan-Brochure.pdf' target='_blank'>Brochure</a>,"Building 289, Second business district, off road 90th",,,,,,,,,,,,,,,,,,,,,,,30.0316823,31.5475387
Residential,home,LightGreen,black,,Eastown,Sodic,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0126767,31.5145804
Residential,home,LightGreen,black,,Sky Condos,SODIC ,16220,https://s3.us-east-2.amazonaws.com/images.cooingestate.com/admin/compound/map/180/Sky_Condo.jpeg,https://sodic.com/imgs/header-dark.png,<a href='https://sodic.com/sodic_project.html?p=sky-condos' target='_blank'>Website</a>,"<a href='https://wixlabs-pdf-dev.appspot.com/assets/pdfjs/web/viewer.html?file=%2Fpdfproxy%3Finstance%3DXiIUZ5JJUy1cYMSgCW5eKn5l6GIHgvy2kWlt32wluJI.eyJpbnN0YW5jZUlkIjoiODY2ZTI1NjYtNTVjNy00NzJmLTlmMjUtZTgyMTMxOWI1NGY3IiwiYXBwRGVmSWQiOiIxM2VlMTBhMy1lY2I5LTdlZmYtNDI5OC1kMmY5ZjM0YWNmMGQiLCJtZXRhU2l0ZUlkIjoiZWY3OWI3YWYtYzllMy00ZGZjLThmNGUtYzIwYjM1MjgzMmYxIiwic2lnbkRhdGUiOiIyMDIyLTAxLTIzVDE0OjA0OjA5LjY3MVoiLCJkZW1vTW9kZSI6ZmFsc2UsImFpZCI6Ijk2NzIxYTU5LTM0NjYtNDkxNS1hMzQ1LWJmMjAxMmJiM2E0OCIsImJpVG9rZW4iOiI2OTE3OTJjOS05YzI0LTBhZDMtMTA2Yi0yYTJhMDRiMzY2MDYiLCJzaXRlT3duZXJJZCI6ImUzMjIyMjJjLTZjYzQtNDU3ZS1iYTAyLWFiOWU1ZDUxOGU4MyJ9%26compId%3Dcomp-j8rs71tw%26url%3Dhttps%3A%2F%2Fmedia.wix.com%2Fugd%2Fe32222_76f13a74ba0c4f5684fdf9e4c05f3a38.pdf&rng=1642946657604#page=1&zoom=auto,-157,607&links=true&allowPrinting=false&allowDownload=false&originalFileName=Sky%20Condos%20apartments%20%26%20duplexes%20floor%20plans%20merged%20compressed' target='_blank'>Brochure</a>","PLOT 67, ST.90, NEW CAIRO INTERNATIONAL",,,,,,,,,,,,,,,,,,,,,,,30.0239549,31.5505346
Residential,home,LightGreen,black,,villette,SODIC ,16220,https://investease-eg.com/wp-content/uploads/2020/07/VILETTE-MASTER-PLAN.png,https://sodic.com/imgs/header-dark.png,<a href='https://sodic.com/sodic_project.html?p=villette' target='_blank'>Website</a>,"<a href='https://wixlabs-pdf-dev.appspot.com/assets/pdfjs/web/viewer.html?file=%2Fpdfproxy%3Finstance%3DXiIUZ5JJUy1cYMSgCW5eKn5l6GIHgvy2kWlt32wluJI.eyJpbnN0YW5jZUlkIjoiODY2ZTI1NjYtNTVjNy00NzJmLTlmMjUtZTgyMTMxOWI1NGY3IiwiYXBwRGVmSWQiOiIxM2VlMTBhMy1lY2I5LTdlZmYtNDI5OC1kMmY5ZjM0YWNmMGQiLCJtZXRhU2l0ZUlkIjoiZWY3OWI3YWYtYzllMy00ZGZjLThmNGUtYzIwYjM1MjgzMmYxIiwic2lnbkRhdGUiOiIyMDIyLTAxLTIzVDE0OjA0OjA5LjY3MVoiLCJkZW1vTW9kZSI6ZmFsc2UsImFpZCI6Ijk2NzIxYTU5LTM0NjYtNDkxNS1hMzQ1LWJmMjAxMmJiM2E0OCIsImJpVG9rZW4iOiI2OTE3OTJjOS05YzI0LTBhZDMtMTA2Yi0yYTJhMDRiMzY2MDYiLCJzaXRlT3duZXJJZCI6ImUzMjIyMjJjLTZjYzQtNDU3ZS1iYTAyLWFiOWU1ZDUxOGU4MyJ9%26compId%3Dcomp-j8rs71th%26url%3Dhttps%3A%2F%2Fmedia.wix.com%2Fugd%2Fe32222_70ceb46d8b4e42cc9f68440da98c4bf7.pdf&rng=1642946657760#page=1&zoom=auto,-14,794&links=true&allowPrinting=false&allowDownload=false&originalFileName=Sky%20Condos%20-%20Phase%20II%20Town%20%26%20Twinhouses' target='_blank'>Brochure</a>","PLOT 67, ST.90, NEW CAIRO INTERNATIONAL",,,,,,,,,,,,,,,,,,,,,,,30.0209243,31.5445922
